Var1,Var2,First_D_E_position,uH,R_count,H_count,K_count
L000003336,YCLX01W,18,0.141244074452049,2,0,2
S000000001,YAL001C,8,0.246503953989843,0,0,0
S000000002,YAL002W,2,0.64,0,0,0
S000000003,YAL003W,5,0.246156903033738,0,0,0
S000000004,YAL005C,8,0.314572890744833,0,0,1
S000000005,YAL007C,42,0.188157248659915,0,0,1
S000000006,YAL008W,70,0.316080863148088,4,0,2
S000000007,YAL009W,2,0.64,0,0,0
S000000008,YAL010C,6,0.311384029310112,0,0,0
S000000009,YAL011W,11,0.277410465377078,2,0,1
S000000010,YAL012W,5,0.216877815877662,0,0,0
S000000011,YAL013W,8,0.301497212929969,0,0,0
S000000012,YAL014C,2,0.64,0,0,0
S000000013,YAL015C,22,0.291791978195424,2,0,4
S000000014,YAL016W,29,0.0640855586315551,1,0,1
S000000015,YAL017W,11,0.124277093495233,0,0,0
S000000016,YAL018C,26,0.0859450745481873,0,0,1
S000000017,YAL019W,8,0.0529526037829622,0,1,0
S000000018,YAL020C,20,0.274858121882052,1,1,0
S000000019,YAL021C,3,0.54574956266191,0,0,0
S000000020,YAL022C,6,0.234303865733797,0,0,0
S000000021,YAL023C,20,0.094850250210222,0,1,2
S000000022,YAL024C,2,0.64,0,0,0
S000000023,YAL025C,3,0.347134174396033,0,0,0
S000000024,YAL026C,3,0.54574956266191,0,0,0
S000000025,YAL027W,13,0.190748650340209,1,0,1
S000000026,YAL028W,16,0.130276937444861,0,0,2
S000000027,YAL029C,4,0.248027034225308,0,0,0
S000000028,YAL030W,8,0.136323688019719,0,0,0
S000000029,YAL031C,3,0.586324007235966,0,0,0
S000000030,YAL032C,23,0.205312532202962,2,1,1
S000000031,YAL033W,12,0.35065734248952,2,0,1
S000000032,YAL034W-A,14,0.184644677708045,1,0,0
S000000033,YAL035W,14,0.344655477386025,0,0,4
S000000034,YAL036C,6,0.329077410731615,0,0,0
S000000035,YAL037W,2,0.64,0,0,0
S000000036,YAL038W,5,0.895262699635855,1,0,0
S000000037,YAL039C,7,0.0910510492159933,0,0,0
S000000038,YAL040C,6,0.451538522572438,0,0,1
S000000039,YAL041W,15,0.0877941657822593,1,0,0
S000000040,YAL042W,10,0.199548080957173,1,0,1
S000000041,YAL043C,5,0.330658338041833,0,0,0
S000000042,YAL044C,52,0.231677915026151,4,0,2
S000000043,YAL045C,2,0.64,0,0,0
S000000044,YAL046C,38,0.269343280923941,3,1,3
S000000045,YAL047C,16,0.529258640562393,4,1,0
S000000046,YAL048C,4,0.703276150015814,0,0,1
S000000047,YAL049C,12,0.19217105852692,0,0,1
S000000048,YAL051W,3,0.586324007235966,0,0,0
S000000049,YAL053W,26,0.268751881673478,2,0,0
S000000050,YAL054C,12,0.190749627504878,0,0,1
S000000051,YAL055W,40,0.134091547812629,3,0,1
S000000052,YAL056W,2,0.64,0,0,0
S000000054,YAL058W,30,0.122181140080885,0,0,2
S000000055,YAL059W,3,0.470547970294987,0,0,0
S000000056,YAL060W,11,0.526321571543554,1,0,2
S000000057,YAL061W,20,0.489294607251091,2,1,2
S000000058,YAL062W,4,0.27263997342889,0,0,0
S000000059,YAL063C,50,0.0571524270516494,0,1,0
S000000060,YAL064W,8,0.406539700330281,0,0,0
S000000061,YAL066W,85,0.261248636705502,2,2,2
S000000062,YAL067C,7,0.60710840407233,0,0,1
S000000063,YAR002W,44,0.230745942117738,4,2,3
S000000064,YAR003W,7,0.422234539449421,0,0,0
S000000065,YAR007C,10,0.26121368393182,1,0,0
S000000066,YAR008W,7,0.191739680020086,0,0,0
S000000067,YAR009C,2,0.64,0,0,0
S000000068,YAR010C,2,0.64,0,0,0
S000000069,YAR014C,5,0.383737092085293,0,0,1
S000000070,YAR015W,7,0.399927796517127,0,0,1
S000000071,YAR018C,9,0.300202239752706,2,1,0
S000000072,YAR019C,6,0.38830801351876,0,0,0
S000000073,YAR020C,30,0.130289441056458,0,0,1
S000000074,YAR023C,53,0.233737244634422,0,0,0
S000000075,YAR027W,6,0.257167728699307,0,0,0
S000000076,YAR028W,6,0.257167728699307,0,0,0
S000000077,YAR029W,7,0.408472730037722,0,0,1
S000000078,YAR031W,19,0.16331911929629,1,1,0
S000000079,YAR033W,6,0.260017706558477,0,0,0
S000000080,YAR035W,14,0.385696995845775,1,0,1
S000000081,YAR042W,2,0.64,0,0,0
S000000082,YAR044W,9,0.156717148361429,0,1,0
S000000083,YAR047C,21,0.177982853425303,0,0,1
S000000084,YAR050W,27,0.109500511439978,1,1,0
S000000085,YAR053W,3,0.323809313667954,0,0,0
S000000086,YAR060C,5,0.522612826471416,0,0,1
S000000087,YAR061W,48,0.0444128242965529,0,1,0
S000000088,YAR062W,21,0.178934345463404,1,0,1
S000000089,YAR064W,4,0.352189627297327,0,0,0
S000000091,YAR068W,43,0.0724556622654855,0,2,1
S000000092,YAR069C,2,0.64,0,0,0
S000000093,YAR070C,22,0.116414524716668,0,0,2
S000000094,YAR071W,27,0.0350336399870788,0,0,2
S000000095,YAR073W,6,0.546327174772314,1,0,0
S000000097,YBL001C,9,0.443385335535607,0,0,1
S000000098,YBL002W,6,0.329018572624324,0,0,0
S000000099,YBL003C,58,0.143012458592421,1,0,4
S000000100,YBL004W,24,0.0670161578936247,4,0,4
S000000101,YBL005W,38,0.0722828494694036,3,0,8
S000000102,YBL006C,10,0.116500075281076,0,0,0
S000000103,YBL007C,15,0.351348863310132,1,0,0
S000000104,YBL008W,13,0.391134110018043,1,1,2
S000000105,YBL009W,4,0.410023287095854,0,0,0
S000000106,YBL010C,3,0.347134174396033,0,0,0
S000000107,YBL011W,8,0.273560555341196,0,0,1
S000000108,YBL012C,7,0.297678507531245,2,0,1
